X,Y,author,title,id
1.91417054388,1.44593382237,"A Perfect Circle","Bre A","A__Perfect__Circle~Bre_A"
4.18225501869,-1.6876788317,"A Perfect Circle","Crimes","A__Perfect__Circle~Crimes"
-4.38136629917,6.76592583802,"A Perfect Circle","Diary Of A Lovesong","A__Perfect__Circle~Diary_Of_A_Lovesong"
0.393474294375,-1.10210131272,"A Perfect Circle","Gravity","A__Perfect__Circle~Gravity"
-4.34305226476,4.47106303278,"A Perfect Circle","Judith","A__Perfect__Circle~Judith"
3.68815848146,-3.67860410914,"A Perfect Circle","Lullaby","A__Perfect__Circle~Lullaby"
0.0113993186234,-0.841468987683,"A Perfect Circle","Magdalena","A__Perfect__Circle~Magdalena"
2.58023136278,1.28922021227,"A Perfect Circle","Orestes","A__Perfect__Circle~Orestes"
1.92744193121,-2.62109496039,"A Perfect Circle","Over","A__Perfect__Circle~Over"
-4.5611311563,-3.12841480163,"A Perfect Circle","Pet","A__Perfect__Circle~Pet"
4.03556175189,-1.45592235721,"A Perfect Circle","Renhold R","A__Perfect__Circle~Renhold_R"
-0.0775330580729,-3.57530460399,"A Perfect Circle","Rose","A__Perfect__Circle~Rose"
-0.790650544914,4.55440294131,"A Perfect Circle","Sleeping Beauty","A__Perfect__Circle~Sleeping_Beauty"
0.682295646065,-1.23068709134,"A Perfect Circle","The Hollow","A__Perfect__Circle~The_Hollow"
-1.18551578555,3.87369076674,"A Perfect Circle","The Noose","A__Perfect__Circle~The_Noose"
2.143545626,-7.11045537371,"A Perfect Circle","The Nurse Who Loved Me","A__Perfect__Circle~The_Nurse_Who_Loved_Me"
-0.861703726894,2.14497339938,"A Perfect Circle","The Outsider","A__Perfect__Circle~The_Outsider"
1.85406407419,0.504999277807,"A Perfect Circle","The Package","A__Perfect__Circle~The_Package"
0.382492738643,-0.37293788721,"A Perfect Circle","Thinking Of You","A__Perfect__Circle~Thinking_Of_You"
2.63738220833,5.65177159013,"A Perfect Circle","Thomas","A__Perfect__Circle~Thomas"
3.46929043601,-0.958826545663,"A Perfect Circle","Vanishing","A__Perfect__Circle~Vanishing"
-1.61254872024,-0.366272454403,"A Perfect Circle","Weak And Powerless","A__Perfect__Circle~Weak_And_Powerless"
1.94411302368,1.58766007333,"Abba","Andante, Andante","Abba~Andante_Andante"
-2.06996535804,-7.27061562828,"Abba","Angeleyes","Abba~Angeleyes"
-3.43096329817,3.04095846501,"Abba","Another Town, Another Train","Abba~Another_Town_Another_Train"
9.3829135235,2.51332963828,"Abba","Arrival","Abba~Arrival"
-3.05402482078,1.59554662735,"Abba","As Good As New","Abba~As_Good_As_New"
5.63758128024,5.30531055521,"Abba","Baby","Abba~Baby"
-0.153067797374,2.12191552469,"Abba","Bang A Boomerang","Abba~Bang_A_Boomerang"
2.95249667197,2.60268731326,"Abba","Burning My Bridges","Abba~Burning_My_Bridges"
-5.11617508525,-0.862798671432,"Abba","Cassandra","Abba~Cassandra"
-2.2002041095,5.30318218735,"Abba","Chiquitita","Abba~Chiquitita"
4.40007979868,-1.63470770878,"Abba","Conociendome, Conociendote","Abba~Conociendome_Conociendote"
-3.8573467228,1.8191143158,"Abba","Crazy World","Abba~Crazy_World"
5.80278732195,0.154150054476,"Abba","Crying Over You","Abba~Crying_Over_You"
4.55812761377,-1.72074898188,"Abba","Dame Dame Dame (Amor Esta Noche)","Abba~Dame_Dame_Dame_Amor_Esta_Noche"
-6.73125491221,-1.6115519114,"Abba","Dance (While The Music Still Goes On)","Abba~Dance_While_The_Music_Still_Goes_On"
-2.10048477117,3.36566022516,"Abba","Dancing Queen","Abba~Dancing_Queen"
-2.21799368505,4.3077741677,"Abba","Disillusion","Abba~Disillusion"
-0.744448965194,6.66357153502,"Abba","Does Your Mother Know","Abba~Does_Your_Mother_Know"
-1.66776360443,5.82396047883,"Abba","Dream World","Abba~Dream_World"
0.179063319277,5.68327986379,"Abba","Dum Dum Diddle","Abba~Dum_Dum_Diddle"
-0.646798399283,-1.29032659062,"Abba","Eagle","Abba~Eagle"
7.28518722708,-3.56397486958,"Abba","El Andar","Abba~El_Andar"
7.31017231073,-3.56836221669,"Abba","Estoy Sonando","Abba~Estoy_Sonando"
-4.17365568369,-1.07266454,"Abba","Fernado","Abba~Fernado"
1.27877047895,-0.976577018088,"Abba","Fernando","Abba~Fernando"
-0.11810403707,-0.412412489109,"Abba","Free As A Bumble Bee","Abba~Free_As_A_Bumble_Bee"
1.81577333616,2.51142064311,"Abba","Givin' A Little Bit More","Abba~Givin'_A_Little_Bit_More"
4.00364885091,2.8188348033,"Abba","Gonna Sing You My Lovesong","Abba~Gonna_Sing_You_My_Lovesong"
6.6966576738,-3.20697592236,"Abba","Gracias Por La Musica","Abba~Gracias_Por_La_Musica"
-4.69244040594,-2.43304502137,"Abba","Hamlet Iii","Abba~Hamlet_Iii"
-7.21279818056,-1.14832202625,"Abba","Happy New Year","Abba~Happy_New_Year"
1.11332606468,-0.548777362538,"Abba","Hasta Ma&Ntilde;Ana","Abba~Hasta_MaNtildeAna"
-2.75385015348,-7.15032308104,"Abba","He Is Your Brother","Abba~He_Is_Your_Brother"
3.1769261961,-7.4890953051,"Abba","Head Over Heels","Abba~Head_Over_Heels"
1.27728406289,-1.06955154116,"Abba","Here Comes Rubie Jamie","Abba~Here_Comes_Rubie_Jamie"
7.58721215818,1.44955865944,"Abba","Hey, Hey Helen","Abba~Hey_Hey_Helen"
6.25974233344,-5.75209088295,"Abba","Hole In Your Soul","Abba~Hole_In_Your_Soul"
1.42445635308,4.23012911527,"Abba","Honey Honey","Abba~Honey_Honey"
1.52895307803,-0.445268556976,"Abba","I'M A Marionette","Abba~I'M_A_Marionette"
-0.467953341628,7.77666142519,"Abba","I'Ve Been Waiting For You","Abba~I'Ve_Been_Waiting_For_You"
-2.45409063128,6.40487112789,"Abba","I Am Just A Girl","Abba~I_Am_Just_A_Girl"
-6.0102061038,-4.42748950392,"Abba","I Am The City","Abba~I_Am_The_City"
3.52716040185,6.18024395804,"Abba","I Do, I Do, I Do, I Do, I Do","Abba~I_Do_I_Do_I_Do_I_Do_I_Do"
-2.20985186917,-1.64842584873,"Abba","I Have A Dream","Abba~I_Have_A_Dream"
